Restaurant Name,Average Rating,Total Votes
Hotel Malabar,3.3,153
Cones & Curries,1.85,153
Paramjeet Machi Wala,3.5,152
High On Burgers,3.35,152
Frozen Factory,3.8,151
Tikka Junction,3.4333333333333336,150
Country Curries,3.1,147
Ashok Meat Wala,3.55,146
Manohar Bikkaneri,3.7,145
Sushiya Express,3.6333333333333333,144
Gupta Chat Corner,3.5,143
Foodhall,2.533333333333333,143
Shawarma King's,3.4000000000000004,143
Bobby Tikki Wala,2.9,143
Bhoj Restaurant,3.25,143
Koyla Kebab,3.35,141
Le Chef,3.15,140
Hira Sweets,3.033333333333333,140
Polka Pastry & Snack Bar,3.1,139
Punjab Restaurant,3.266666666666667,137
Jaiveer Naan & Chaap,2.9,133
Food Express,1.8,128
Night Food Xprs,2.7,127
Pakwan,2.075,126
Frontier,2.8285714285714287,125
Momo-Cha,2.725,124
Muffins,2.7,122
Chawla's Tandoori Xpress,2.85,120
Hot Stuff,3.4,119
Tea Halt,2.8666666666666667,118
Angeethi,3.05,118
Laxmi Ice Cream,3.55,118
bu��no,3.75,117
Chawnsan Chef,3.4,117
Nirula's Ice Cream,2.4000000000000004,117
Burger Xpress,1.625,116
Chawla's 2,1.7000000000000002,116
Pasta Hut,3.4,116
Midnight Hunger Hub,4.033333333333333,114
Gullu's,3.0,114
Rainbows,3.1,113
Veg Ex,3.6,113
New Punjabi Khana,3.5,112
Sardar A Pure Meat Shop,1.7222222222222223,112
Coldpress Company,4.05,108
Bats On Delivery,2.6999999999999997,108
Public Cafe,2.4,107
Punjabi Dhaba,2.1999999999999997,107
Kolkata Kathi Roll,3.1,106
Oh Buoy,3.3499999999999996,105
Grillz,2.35,104
Singz,2.7,103
Raj Restaurant,2.75,103
Halki Aanch,3.0,103
Wagh Bakri Tea Lounge,3.6,102
The Culinary Pitaara,3.5,102
Chawla Family Restaurant,3.05,101
Relax Xpress,3.2,100
Ovenstory Pizza,2.5,100
GoGourmet,2.6500000000000004,99
Hasty Tasty,2.033333333333333,99
The Bake Studio,3.35,98
Shri Ram Restaurant,2.85,98
Just Vada Pav,1.2,97
South Cafe,1.75,96
Prince Chaat Corner,3.45,96
Chimney,3.033333333333333,95
Biryaniwala,2.35,94
Bikano Chat Cafe,2.8,93
Muradabadi Shahi Biryani & Chicken Corner,1.9666666666666668,92
Cakes & Bakes,3.1666666666666665,92
Hurry's Paratha,3.5,92
Madras Dosa & Chinese,1.35,91
Sumo Sushi,3.95,91
Go Kylin,3.15,90
South Indian Corner,3.4,89
Shankar Fast Food,2.95,89
Flirty Momo's,2.92,89
JSB Evergreen Snack & Sweets,3.1500000000000004,88
Bikaner Sweets,1.3384615384615384,88
Pitstop,1.65,87
Bawarchi,3.125,86
Flavours,3.0999999999999996,85
BarShala,3.266666666666667,85
The Dosa King,3.05,84
Madhuvan Chinese Fast Food,2.6,84
Bunty Dhaba,2.8333333333333335,84
Oberoi's,3.4000000000000004,83
Spooky Sky,3.45,82
Vaishno Punjabi Dhaba,3.25,82
Kings Kulfi,2.2666666666666666,82
Zaaika Junction,2.85,81
A Piece of Paris,3.75,81
Qureshi Kabab Corner,3.65,81
ZASTY,3.5,80
Kumar Pastry Shop,3.25,79
Street Foods by Punjab Grill,1.9333333333333336,79
Chinese King,2.5,77
Faasos,2.9375,77
Raj Rasoi,1.65,76
Riyaz Chicken Corner,1.7,75
Druk,3.4499999999999997,75
Hyderabad House,3.1,74
KB's Kulfi & Icecream,3.133333333333333,73
Wheelyz,2.85,73
Shahenshah,3.1333333333333333,72
Brijwasi Restaurant,3.0,71
Gelato Vinto,2.975,70
Shree Bikaner Misthan Bhandar,3.0,69
Shama Chicken Corner,1.0777777777777777,69
True Blue,3.1666666666666665,68
China Town,2.0285714285714285,68
The Kitchen,2.95,67
Fabulous Cake Bites,3.5,67
Mitthu Tikki Wala,3.3,67
Reena Restaurant,3.1,66
Bharat Sweets,3.3333333333333335,65
Shree Durga Dosa,3.05,62
Haldiram Bhujiawala,3.45,62
Vadapav Junction,3.45,62
Papa Veg Chinese Food,3.3499999999999996,62
Aggarwal Sweets India,1.7333333333333332,61
Hot Joint Fast Food,1.3,61
Hangchuaa's Chinese Food Corner,2.966666666666667,60
South Indian Cafe,3.0,60
Senorita's,1.85,60
Garota de Ipanema,4.6,59
Bake Club,3.1500000000000004,59
The Blue Tandoor,2.75,59
Tea Trails,1.85,58
Havmor Ice Cream,3.3666666666666667,57
Weird Time Food,3.35,56
Kolkata Hot Kathi Roll,2.95,56
Mithaas Sweets,2.9000000000000004,56
Roti Aur Boti,3.35,56
Miam,3.55,55
Midnight Hunger,3.45,55
Kitchen King,1.3,55
Ammu's South Indian Restaurant,2.95,55
Sonya Bakery Cafe,3.4,54
Kati Roll Cottage,3.6,53
Punjabee's Darbar,3.15,53
Nawabi Mughlai Zaika,3.25,53
Jack Po!tato's,3.4,52
Zooby's Kitchen,3.15,52
The Night Owl,1.4,52
Gulab,2.95,51
Clever Fox Cafe,3.1,51
Urban Dhaba,2.85,51
Pandey Chinese Hut,2.7,50
Mirchievous,3.5,50
Gupta Ji Ka Dhaba,1.3,49
Cake Point,1.7399999999999998,49
Ramesh Vaishno Dhaba,3.1,48
New Madras Cafe,1.9666666666666668,47
Coco Bambu,4.550000000000001,47
Green Restaurant,1.8,47
Wah G Wah,1.7666666666666668,46
Fresh n Refresh,3.0999999999999996,46
Bhappe Di Hatti,3.3,45
New Zaika,2.75,45
Super Snacks,1.55,44
The Cake Shop,1.65,44
Tpot,0.9714285714285715,43
Metro Fast Food,2.6500000000000004,43
South Indian Hut,1.575,43
Aggarwal Sweet Corner,1.26,41
EDC Mania,1.65,41
Shamji Sweets,3.05,41
Health Buzzz,3.1333333333333333,40
Aggarwal Sweets,0.7928571428571428,39
Breaktym,2.766666666666667,37
Snack Junction,3.1,37
Momos House,3.0999999999999996,37
Chao Cart,3.2,36
Pizza Diet,2.75,35
Aggarwal Sweet India,1.7,35
Liquid,3.6,35
Chaap Point,3.2,34
Mahi Rasoi,1.3,34
Aapki Rasoi,1.525,34
Faaso's,1.8,34
Fluffles - The Fluffy Waffle Co.,3.0,34
China Hut,2.7,34
Spanish Delights,3.3,33
Konetto Pizza,1.75,32
Khalsa Veg Corner,3.25,32
The Belgian Fries Company,1.85,32
Standard Sweets,1.8,32
Pizza Yum,2.9000000000000004,32
Ram Chinese Food,3.0,32
Dilli Rasoi,1.6,31
China Hot Pot,2.75,31
The Chef,2.95,31
34 Parkstreet Lane,3.05,31
Evergreen Sweets,2.7,30
The Mirch Masala,3.1,29
Sagar Dhaba,1.55,29
Anupam Sweets,2.55,29
Chawlas 2,1.5,28
Mom's Kitchen,1.75,28
Pizza Station,2.1666666666666665,28
Amritsari Dhaba,3.05,28
Organic Express,3.2,27
Rajshree,3.2,27
Cake 24x7,1.65,27
The China Town,1.7,27
Vaishno Rasoi,1.3,26
WTF - World's Tastiest Food,2.4,26
Juice Lounge,1.7,26
Papa Buns,1.8,26
Bikaner Kesarvala,1.6,26
Niti Shake & Ice Cream Hub,1.2666666666666666,25
Punjabi's Veg Grill,2.3,25
Sadda Adda,1.75,24
Aggarwal's Sweets Paradise,2.8,24
Crust N Cakes,3.3,24
Food Plaza,1.0666666666666667,24
Da Pizza Corner,2.2600000000000002,23
Mr. Baker's,1.5,23
Khan Chicken Biryani,2.9,23
Pasta Hub,3.05,23
Garden Hut,2.9000000000000004,21
Chinese Food,2.0,21
Chinese Food Corner,0.8333333333333334,20
Super Cake Shop,2.05,20
Syall Kotian Da Dhaba,1.5,20
Biryani Vice,1.8,19
U Like,1.5,19
Green Chilli,1.4,19
Mr. Momo,1.35,19
Dolce Gelato,0.8857142857142858,18
Chai Mantra,1.6,18
Royale Bakers,1.4,18
Tandoori Tadka,1.65,18
Puja Sandwich House,1.35,17
The Pirates Of China Town,1.6,17
Hunger's Hub,1.55,16
Zaika Kathi Rolls,1.5,16
Dilli Light,1.3,16
Chennai Express,1.6,15
Food Factory,1.5,15
Snack Shack,1.35,15
Bakingo,2.85,15
Bikaner's,2.65,15
Dosa Plaza,1.6,15
Rolling Beans,2.8,14
Wild Chef House,1.55,14
Roll Corner,1.65,14
Choco Kraft,1.6,14
Balaji Dhaba,1.35,14
KC Bakers,1.6,14
Amar Bakery,1.65,13
Tandoori Junction,1.2,13
Pastry Palace,1.6,13
Brown Town,1.35,13
Magic Masala,1.5,12
Lazeez Restaurant,1.5,12
Yo! Dimsum,1.5,11
Aggarwal Bikaneri Sweets,1.45,11
Chauhan Hotel,1.45,11
Aggarwal Sweets & Restaurant,1.35,11
The Taste,3.05,11
Bikaner Sweets & Restaurant,0.5166666666666667,11
Ankur Family Restaurant,2.8499999999999996,11
Chai Thela,1.55,11
Yomo-Your Only Momo Outlet,3.0,11
Aggarwal Bikaner Sweets,1.0,10
Grover Sweets,1.55,10
Joost Juice Bar,1.0666666666666667,10
Adarsh Kulfi,1.5,10
Mx Corn,0.775,10
Delhi Biryani Hut,1.35,9
Al Zaika,1.45,9
Shalimar Vyanjan,1.5,9
Mogambo Kitchen,1.55,9
The Roll Van,2.95,9
The Chaiwalas,0.9666666666666667,9
Chai Garam,0.725,9
Flavors Of London,1.5,8
BonJuz,1.55,8
Delight Express,1.45,8
6 Pack Momos,1.4,8
Pizza Hub,0.0,7
Jain Restaurant,1.5,7
Night Food Delivery,1.35,7
Baba Chicken Ludhiana Wale,1.55,7
Rasoi,1.5,7
Radha Swami Shudh Vaishno Dhaba,0.0,6
Pandit Ji Ki Apni Rasoi,1.2,6
Cafe Buddy's,1.45,6
Kwality Wall's Swirl's,0.75,6
Mother's Kitchen,1.45,6
Aggarwal Sweet Centre,0.0,6
Desi Tadka,1.5,6
Madras Coffee House,1.5,5
Snacks Point,1.45,5
VadaPav 'n' Frankie,1.5,5
Amul Ice-Cream Parlour,1.0,5
Aggarwal Sweets Centre,1.45,5
Aggarwal Sweet & Bakers,1.45,5
Kettle & Kegs,0.0,5
Fresh Meat CO,1.45,4
Dana Pani,1.4,4
Pizza Day,0.0,4
Hot & Spicy,1.45,4
Meatwale.com,0.0,4
Flavours Kitchen,0.0,3
Biryani Bot,0.0,3
Chilli Tadka,0.0,3
Anand Sweets,0.0,3
Punjabi Chicken,0.0,3
Riyaz Biryani Corner,0.0,3
Lasha Chinese Food,0.0,3
Singh Chicken,0.0,3
Kesarwa Bakez,0.0,3
D Food,0.0,3
Yadav Sweets,0.0,2
Da Pizza Zone,0.0,2
OCD - Online Cake Delivery,0.0,2
Rasoi - The Indian Zaika,0.0,2
Golden Bakery,0.0,2
Maggi Point,0.0,2
Kake Da Dhaba,0.0,2
Bikaner Sweets & Bakers,0.0,2
Soya Bite's,0.0,2
The Square Meal,0.0,1
Royal Spice,0.0,1
Big Biryani,0.0,1
Night Munchers,0.0,1
Special Chicken Biryani,0.0,1
Essen Foods,0.0,1
Delhi Chaat Bhandar,0.0,1
Pizza King,0.0,1
Chinese Hot,0.0,1
Bikaner Rasoi,0.0,1
Biryani Express,0.0,1
Ghar Ka Khana,0.0,1
Whatslife.in,0.0,0
